id,title,description,availability,condition,price,link,image_link,brand
36135344,Dodge CHARGER BLEU 2023,"Dodge CHARGER BLEU 2023
KM: 1480",in stock,used,67995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/charger/dodge-charger-2023-id36135344,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/charger/2023/36135344/36135344_01714_2023-dodge-charger_001.png,Kennebec Dodge Chrysler
35913230,Dodge Challenger SRT Hellcat 2021,"Dodge Challenger SRT Hellcat 2021
KM: 8025",in stock,used,86995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/challenger/dodge-challenger-2021-id35913230,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/challenger-srt-hellcat/2021/35913230/35913230_00451_2021-dodge-challenger-srt-hellcat_018.png,Kennebec Dodge Chrysler
35753498,Dodge Challenger R/T 2023,"Dodge Challenger R/T 2023
KM: 12364",in stock,used,56995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/challenger/dodge-challenger-2023-id35753498,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/challenger/2023/35753498/35753498_08543_2023-dodge-challenger_001.png,Kennebec Dodge Chrysler
35500074,Dodge CHALLENGER R/T SCAT PACK  2023,"Dodge CHALLENGER R/T SCAT PACK  2023
KM: 1800",in stock,used,76995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/challenger-rt-scat-pack/dodge-challenger-rt-scat-pack-2023-id35500074,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/challenger-r-t-scat-pack/2023/35500074/35500074_06597_2023-dodge-challenger-r-t-scat-pack_001.png,Kennebec Dodge Chrysler
37662779,Ram 2500 TRADESMAN  2025,"Ram 2500 TRADESMAN  2025
KM: 181",in stock,used,59995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/2500-tradesman/ram-2500-tradesman-2025-id37662779,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/2500-tradesman/2025/37662779/37662779_05574_2025-ram-2500-tradesman_009.jpeg,Kennebec Dodge Chrysler
37662777,Ram RAM 2500 BIG HORN  2025,"Ram RAM 2500 BIG HORN  2025
KM: 22",in stock,used,79995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/ram-2500-big-horn/ram-ram-2500-big-horn-2025-id37662777,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/ram-2500-big-horn/2025/37662777/37662777_05974_2025-ram-ram-2500-big-horn_004.jpeg,Kennebec Dodge Chrysler
37662776,Ram 1500 TRADESMAN  2020,"Ram 1500 TRADESMAN  2020
KM: 118352",in stock,used,28995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-tradesman/ram-1500-tradesman-2020-id37662776,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-tradesman/2020/37662776/37662776_06209_2020-ram-1500-tradesman_002.jpg,Kennebec Dodge Chrysler
37591734,Ram 1500 LARAMIE LARAMIE 2022,"Ram 1500 LARAMIE LARAMIE 2022
KM: 84037",in stock,used,50995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-laramie/ram-1500-laramie-2022-id37591734,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-laramie/2022/37591734/37591734_06754_2022-ram-1500-laramie_004.jpeg,Kennebec Dodge Chrysler
37476812,Ram 1500 SPORT  2021,"Ram 1500 SPORT  2021
KM: 64116",in stock,used,45995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-sport/ram-1500-sport-2021-id37476812,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500/2021/37476812/37476812_03504_2021-ram-1500_003.jpg,Kennebec Dodge Chrysler
37436440,Ram 2500 SLT  2018,"Ram 2500 SLT  2018
KM: 162436",in stock,used,35995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/2500-slt/ram-2500-slt-2018-id37436440,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/2500-slt/2018/37436440/37436440_03515_2018-ram-2500-slt_005.jpg,Kennebec Dodge Chrysler
37355052,Ram ProMaster Cargo Van  2023,"Ram ProMaster Cargo Van  2023
KM: 43772",in stock,used,40995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/promaster-cargo-van/ram-promaster-cargo-van-2023-id37355052,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/promaster-2500-high/2023/37355052/37355052_04791_2023-ram-promaster-2500-high_009.jpeg,Kennebec Dodge Chrysler
37154795,Ram 1500 TRADESMAN  2019,"Ram 1500 TRADESMAN  2019
KM: 94000",in stock,used,29995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-tradesman/ram-1500-tradesman-2019-id37154795,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-tradesman/2019/37154795/37154795_05399_2019-ram-1500-tradesman_010.jpg,Kennebec Dodge Chrysler
37110019,Ram 1500 BIG HORN/LONE STAR  2019,"Ram 1500 BIG HORN/LONE STAR  2019
KM: 96137",in stock,used,28995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-big-hornlone-star/ram-1500-big-hornlone-star-2019-id37110019,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500/2019/37110019/37110019_07412_2019-ram-1500_001.png,Kennebec Dodge Chrysler
37009119,Ram 1500 CLASSIC TRADESMAN *GARANTIE 5 ANS / 100 000KM* 2022,"Ram 1500 CLASSIC TRADESMAN *GARANTIE 5 ANS / 100 000KM* 2022
KM: 100000",in stock,used,35995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-classic-tradesman/ram-1500-classic-tradesman-2022-id37009119,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-classic/2022/37009119/37009119_02990_2022-ram-1500-classic_001.png,Kennebec Dodge Chrysler
36953067,Ram 1500 CLASSIC SLT  2022,"Ram 1500 CLASSIC SLT  2022
KM: 58907",in stock,used,33995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-classic-slt/ram-1500-classic-slt-2022-id36953067,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-classic-slt/2022/36953067/36953067_03341_2022-ram-1500-classic-slt_001.png,Kennebec Dodge Chrysler
36905639,Ram 2500 BIG HORN  2024,"Ram 2500 BIG HORN  2024
KM: 58652",in stock,used,69995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/2500-big-horn/ram-2500-big-horn-2024-id36905639,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/2500-big-horn/2024/36905639/36905639_07277_2024-ram-2500-big-horn_001.png,Kennebec Dodge Chrysler
36722057,Ram 2500 TRADESMAN  2024,"Ram 2500 TRADESMAN  2024
KM: 22",in stock,used,57995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/2500-tradesman/ram-2500-tradesman-2024-id36722057,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/2500-tradesman/2024/36722057/36722057_09610_2024-ram-2500-tradesman_001.png,Kennebec Dodge Chrysler
36511229,Ram 1500 TRADESMAN  2021,"Ram 1500 TRADESMAN  2021
KM: 97207",in stock,used,34995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-tradesman/ram-1500-tradesman-2021-id36511229,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-tradesman/2021/36511229/36511229_04771_2021-ram-1500-tradesman_017.png,Kennebec Dodge Chrysler
36414310,Ram 1500 CLASSIC SLT  2023,"Ram 1500 CLASSIC SLT  2023
KM: 56876",in stock,used,37995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-classic-slt/ram-1500-classic-slt-2023-id36414310,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-classic-slt/2023/36414310/36414310_02897_2023-ram-1500-classic-slt_001.png,Kennebec Dodge Chrysler
