vehicle_id,make,model,year,mileage,price,url,image,state_of_vehicle,address,body_style
37476810,Jeep,WRANGLER 4XE,2024,48106,43995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-4xe/jeep-wrangler-4xe-2024-id37476810,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-4xe/2024/37476810/37476810_03855_2024-jeep-wrangler-4xe_002.jpeg,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37476808,Jeep,COMPASS SPORT,2024,16431,26995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/compass-sport/jeep-compass-sport-2024-id37476808,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/compass-sport/2024/37476808/37476808_07854_2024-jeep-compass-sport_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37476811,Jeep,WRANGLER SPORT,2024,23599,36995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-sport/jeep-wrangler-sport-2024-id37476811,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-sport/2024/37476811/37476811_02174_2024-jeep-wrangler-sport_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37423469,Jeep,WAGONEER SERIES II BLANC,2023,44002,67995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wagoneer-series-ii/jeep-wagoneer-series-ii-2023-id37423469,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wagoneer-series-ii/2023/37423469/37423469_08913_2023-jeep-wagoneer-series-ii_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37110016,Jeep,WRANGLER,2022,160000,41995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler/jeep-wrangler-2022-id37110016,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler/2022/37110016/37110016_05857_2022-jeep-wrangler_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37400662,Jeep,WRANGLER UNLIMITED SPORT,2020,84872,31995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-unlimited-sport/jeep-wrangler-unlimited-sport-2020-id37400662,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-unlimited-sport/2020/37400662/37400662_06760_2020-jeep-wrangler-unlimited-sport_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37368828,Jeep,RENEGADE TRAILHAWK,2017,62849,17995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/renegade-trailhawk/jeep-renegade-trailhawk-2017-id37368828,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/renegade-trailhawk/2017/37368828/37368828_05005_2017-jeep-renegade-trailhawk_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37058435,Jeep,GRAND CHEROKEE LIMITED,2019,76301,27995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/grand-cherokee-limited/jeep-grand-cherokee-limited-2019-id37058435,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/grand-cherokee/2019/37058435/37058435_05129_2019-jeep-grand-cherokee_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36961814,Jeep,COMPASS LATITUDE,2017,72106,16995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/compass-latitude/jeep-compass-latitude-2017-id36961814,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/compass-latitude/2017/36961814/36961814_09287_2017-jeep-compass-latitude_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36225520,Jeep,COMPASS LATITUDE LUX,2023,14677,32995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/compass-latitude-lux/jeep-compass-latitude-lux-2023-id36225520,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/compass-latitude-lux/2023/36225520/36225520_00558_2023-jeep-compass-latitude-lux_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
34305715,Jeep,WRANGLER RUBICON 4XE,2024,15586,66995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-rubicon-4xe/jeep-wrangler-rubicon-4xe-2024-id34305715,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-rubicon-4xe/2024/34305715/34305715_02171_2024-jeep-wrangler-rubicon-4xe_027.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37169542,Chrysler,GRAND CARAVAN,2024,35512,38995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/chrysler/grand-caravan/chrysler-grand-caravan-2024-id37169542,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/chrysler/grand-caravan/2024/37169542/37169542_05916_2024-chrysler-grand-caravan_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
